#{"t_start": 1772341269.333074, "env_id": "None"}
r,l,t
-9.235208,500,6088.901602
-44.777492,500,6113.54784
-6.068441,500,6128.841596
1.044014,500,6144.045918
5.043307,500,6159.360557
12.850906,500,6184.283911
0.262795,500,6199.41143
31.311247,500,6214.555042
40.702245,500,6229.715906
2.42606,500,6254.978363
-2.805837,500,6270.197687
8.190513,500,6285.358895
3.075745,500,6300.701252
4.796808,500,6325.766697
2.186178,500,6341.060776
-49.241074,500,6356.105911
45.701247,500,6371.455624
-0.500474,500,6396.722885
119.98677,500,6411.971566
76.635496,531,6428.419886
116.427836,500,6443.556292
-44.487172,588,6471.618273
79.810419,500,6486.781596
66.489591,500,6502.051406
194.175453,957,6543.081306
44.566217,500,6558.098943
-67.042348,500,6572.67784
-246.513157,500,6587.38841
1.87363,500,6612.763109
54.251397,500,6627.973441
155.638949,500,6643.36065
136.193234,500,6658.54019
47.980598,500,6683.786536
91.472021,500,6699.067763
19.759917,500,6714.313005
26.298024,987,6745.593395
-12.924553,500,6770.634136
5.759472,500,6785.838898
-76.011297,500,6800.859559
-34.06485,500,6815.403085
-41.881134,500,6840.672504
-1.671939,500,6855.833713
122.261591,500,6871.033484
122.455263,500,6885.373994
102.417574,500,6909.617389
73.927159,500,6928.198216
89.458256,984,6977.181423
95.97831,500,6996.900822
-1.366502,500,7008.510607
12.984853,500,7019.823313
14.743355,500,7031.24914
2.123503,500,7047.645749
-1.420315,500,7059.21196
1.511081,500,7071.162963
-3.496261,500,7082.45525
0.821328,500,7101.315964
-1.541059,500,7114.159035
6.393397,500,7127.69955
10.551926,500,7142.628795
28.994168,500,7160.067451
88.244049,500,7172.045809
22.93877,500,7183.456528
61.5959,500,7194.660702
50.384445,500,7209.390184
24.925406,500,7220.535755
-1.299712,500,7231.681304
35.408814,500,7242.841971
53.061981,500,7257.529485
59.170705,500,7269.09421
40.438333,500,7280.543594
46.492866,500,7291.728895
-4.866195,500,7306.306058
-1.077012,500,7317.556646
1.370276,500,7328.882609
4.498006,500,7340.111143
1.17214,500,7351.37264
7.580058,500,7365.937268
-0.45928,500,7377.19811
-0.375616,500,7388.460159
-1.21389,500,7399.729003
3.710602,500,7414.39983
6.534001,500,7425.663748
0.324634,500,7436.942718
3.621589,500,7448.19175
5.725478,500,7462.941946
-1.457601,500,7474.22
-3.349561,500,7485.471591
-0.053962,500,7496.718171
10.227393,500,7511.650802
36.070342,500,7522.907735
23.684515,500,7534.15679
-53.65718,500,7544.571622
-35.260465,500,7558.924071
-19.858906,500,7569.58714
41.349509,500,7580.817227
-2.920546,500,7592.021387
1.59141,500,7607.092001
-7.61221,500,7618.912973
-6.622674,500,7630.944415
-82.263889,502,7641.944017
-142.829327,500,7655.423633
-2.172071,500,7666.708236
-62.486638,504,7677.491388
-13.873919,500,7688.754613
-86.525736,500,7702.683743
-42.138828,500,7713.477375
-76.951471,500,7723.837897
-28.420883,500,7734.646021
-108.531475,500,7749.184858
-119.958186,500,7759.052651
-62.512818,500,7769.646107
-101.972187,500,7779.821176
-30.145633,500,7794.176391
5.694622,500,7805.389205
-12.560213,500,7816.46059
-41.789489,500,7827.284775
-44.337794,500,7838.241755
10.480551,500,7852.884693
3.709786,500,7864.140028
2.805133,500,7875.4252
1.115963,500,7886.661313
7.756031,500,7901.376793
8.268627,500,7912.688934
41.074002,500,7923.93681
-9.41409,500,7935.149694
-2.543342,500,7949.789358
-0.589812,500,7961.024005
-0.894646,500,7972.240989
10.575073,500,7983.443775
122.858464,500,7998.222006
159.4601,500,8009.459866
